date,product,quantity,unit_price
2026-01-05,Drip Coffee,6,2.75
2026-01-05,Latte,20,4.5
2026-01-05,Espresso,18,3.0
2026-01-06,Drip Coffee,13,2.75
2026-01-06,Latte,13,4.5
2026-01-06,Espresso,22,3.0
2026-01-07,Drip Coffee,6,2.75
2026-01-07,Latte,18,4.5
2026-01-07,Espresso,9,3.0
2026-01-08,Drip Coffee,6,2.75
2026-01-08,Latte,15,4.5
2026-01-08,Espresso,24,3.0
2026-01-09,Drip Coffee,19,2.75
2026-01-09,Latte,20,4.5
2026-01-09,Espresso,19,3.0
2026-01-10,Drip Coffee,20,2.75
2026-01-10,Latte,15,4.5
2026-01-10,Espresso,7,3.0
2026-01-11,Drip Coffee,21,2.75
2026-01-11,Latte,14,4.5
2026-01-11,Espresso,15,3.0
2026-01-12,Drip Coffee,12,2.75
2026-01-12,Latte,8,4.5
2026-01-12,Espresso,23,3.0
2026-01-13,Drip Coffee,20,2.75
2026-01-13,Latte,17,4.5
2026-01-13,Espresso,13,3.0
2026-01-14,Drip Coffee,21,2.75
2026-01-14,Latte,15,4.5
2026-01-14,Espresso,13,3.0
